year,Global ,Global,Tucson,Tucson
1986,8.83,8.87375,18.28,17.87142857
1987,8.99,8.90125,17.56,17.76428571
1988,9.2,8.87,18.04,17.69142857
1989,8.92,8.94375,18.8,17.85571429
1990,9.23,8.9625,17.82,17.93857143
1991,9.18,8.98125,17.45,17.93571429
1992,8.84,9.0075,17.73,17.95428571
1993,8.87,9.03375,17.99,17.91285714
1994,9.04,9.07875,18.3,18.01857143
1995,9.35,9.05875,18.38,18.06714286
1996,9.04,9.09375,18.89,18.08
1997,9.2,9.13,18.32,18.15142857
1998,9.52,9.14375,17.6,18.17285714
1999,9.29,9.18875,18.37,18.26428571
2000,9.2,9.25625,18.67,18.36142857
2001,9.41,9.3225,18.27,18.35714286
2002,9.57,9.345,18.65,18.39571429
2003,9.53,9.38,18.93,18.40142857
2004,9.32,9.4425,17.95,18.34857143
2005,9.7,9.44375,18.71,18.50714286
2006,9.53,9.49875,18.61,18.54142857
2007,9.73,9.5275,18.55,18.52428571
2008,9.43,9.54,18.24,18.52
2009,9.51,9.55625,18.77,18.53714286
2010,9.7,9.555,18.19,18.43142857
2011,9.52,9.57875,18.4,18.49571429
2012,9.51,9.5675,18.96,18.53142857
2013,9.61,9.5725,19.71,18.68857143
2014,9.57,9.585,,
2015,9.83,9.607142857,,
